"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales"
"33","FDP33",18.7,"Low Fat",0,"Snack Foods",256.6672,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3068.0064
"35","DRH01",17.5,"Low Fat",0.097904029,"Soft Drinks",174.8738,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2085.2856
"36","NCX29",10,"Low Fat",0.089291137,"Health and Hygiene",146.7102,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3791.0652
"38","DRZ11",8.85,"Regular",0.113123893,"Soft Drinks",122.5388,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1609.9044
"41","FDU02",13.35,"Low Fat",0.102511504,"Dairy",230.6352,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3435.528
"42","FDK43",9.8,"Low Fat",0.02681843,"Meat",126.002,"OUT013",1987,"High","Tier 3","Supermarket Type1",2150.534
"43","FDA46",13.6,"Low Fat",0.117818348,"Snack Foods",192.9136,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2527.3768
"44","FDC02",21.35,"Low Fat",0.069102831,"Canned",259.9278,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",6768.5228
"45","FDL50",12.15,"Regular",0.042277867,"Canned",126.5046,"OUT013",1987,"High","Tier 3","Supermarket Type1",373.5138
"49","FDL12",15.85,"Regular",0.121632721,"Baking Goods",60.622,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2576.646
"51","NCL17",7.39,"Low Fat",0.067779712,"Health and Hygiene",143.8812,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3134.5864
"52","FDM40",10.195,"Low Fat",0.159803853,"Frozen Foods",141.5154,"OUT013",1987,"High","Tier 3","Supermarket Type1",850.8924
"53","FDR13",9.895,"Regular",0.028696932,"Canned",117.0492,"OUT013",1987,"High","Tier 3","Supermarket Type1",810.9444
"56","FDK21",7.905,"Low Fat",0.010053105,"Snack Foods",249.0408,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",6258.52
"58","DRK35",8.365,"Low Fat",0.071958197,"Hard Drinks",38.0506,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",796.9626
"59","FDY21",15.1,"Low Fat",0.173481304,"Snack Foods",194.511,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4910.275
"61","FDM20",10,"Low Fat",0,"Fruits and Vegetables",246.9144,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3185.1872
"67","FDH19",19.35,"Low Fat",0.033082215,"Meat",172.5738,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4865.6664
"70","NCI17",8.645,"Low Fat",0.143422643,"Health and Hygiene",95.841,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2027.361
"71","FDJ58",15.6,"Regular",0.105296072,"Snack Foods",170.1764,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3435.528
"72","FDL12",15.85,"Regular",0.121531501,"Baking Goods",59.222,"OUT013",1987,"High","Tier 3","Supermarket Type1",599.22
"75","NCZ18",7.825,"Low Fat",0.186357148,"Household",254.3698,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5580.7356
"76","FDC29",8.39,"Regular",0.024205661,"Frozen Foods",114.0176,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2290.352
"77","FDQ10",12.85,"Low Fat",0.033230816,"Snack Foods",172.3422,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1207.0954
"81","FDD58",7.76,"Low Fat",0.059352241,"Snack Foods",101.87,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1697.79
"82","FDN04",11.8,"Regular",0.014087057,"Frozen Foods",180.3344,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1427.4752
"83","FDV45",16.75,"Low Fat",0.045230944,"Snack Foods",187.9556,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",4693.89
"87","FDZ55",6.055,"Low Fat",0.025403898,"Fruits and Vegetables",160.992,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2716.464
"89","FDN33",6.305,"Regular",0.123115764,"Snack Foods",95.6436,"OUT046",1997,"Small","Tier 1","Supermarket Type1",661.8052
"90","FDN27",20.85,"Low Fat",0.039624006,"Meat",117.2808,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1523.3504
"92","DRG27",8.895,"Low Fat",0.105274111,"Dairy",39.9138,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",690.4346
"94","FDA44",19.7,"Low Fat",0.053212652,"Fruits and Vegetables",57.893,"OUT035",2004,"Small","Tier 2","Supermarket Type1",622.523
"95","NCR17",9.8,"Low Fat",0.024378706,"Health and Hygiene",114.5492,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1274.3412
"97","FDF41",12.15,"Low Fat",0.131383762,"Frozen Foods",246.046,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1231.73
"98","FDB56",8.75,"Regular",0.07461309,"Fruits and Vegetables",187.4556,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3755.112
"100","FDB56",8.75,"Regular",0.074627201,"Fruits and Vegetables",187.8556,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1314.2892
"103","FDW57",8.31,"Regular",0.115857223,"Snack Foods",179.1028,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3896.2616
"104","DRB48",16.75,"Regular",0.024832806,"Soft Drinks",38.7822,"OUT013",1987,"High","Tier 3","Supermarket Type1",667.7974
"105","FDP09",19.75,"Low Fat",0.034027909,"Snack Foods",212.0902,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3185.853
"106","FDH14",17.1,"Regular",0.0467696,"Canned",141.1838,"OUT013",1987,"High","Tier 3","Supermarket Type1",2247.7408
"107","FDA47",10.5,"Regular",0.116576702,"Baking Goods",163.121,"OUT013",1987,"High","Tier 3","Supermarket Type1",1794.331
"110","DRK49",14.15,"Low Fat",0.035913805,"Soft Drinks",41.4138,"OUT013",1987,"High","Tier 3","Supermarket Type1",812.276
"111","FDD03",13.3,"Low Fat",0.079806266,"Dairy",232.53,"OUT046",1997,"Small","Tier 1","Supermarket Type1",699.09
"116","FDD17",7.5,"Low Fat",0.032677678,"Frozen Foods",239.0906,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5942.265
"118","FDZ46",7.485,"Low Fat",0.06911065,"Snack Foods",109.0228,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2542.0244
"120","FDY58",11.65,"Low Fat",0.040081193,"Snack Foods",227.0694,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1141.847
"124","FDJ38",8.6,"Regular",0.040197932,"Canned",190.153,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3036.048
"126","FDL40",17.7,"Low Fat",0.01161096,"Frozen Foods",95.041,"OUT035",2004,"Small","Tier 2","Supermarket Type1",868.869
"127","DRI49",14.15,"Low Fat",0.183507295,"Soft Drinks",82.4276,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1137.1864
"129","DRG23",8.88,"Low Fat",0.086708987,"Hard Drinks",151.7682,"OUT013",1987,"High","Tier 3","Supermarket Type1",762.341
"132","NCH54",13.5,"Low Fat",0.07266912,"Household",160.292,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1438.128
"135","FDG02",7.855,"Low Fat",0.011307038,"Canned",188.5188,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",952.094
"136","NCO26",7.235,"Low Fat",0.076855628,"Household",116.0492,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1969.4364
"141","NCC31",8.02,"Low Fat",0.019866705,"Household",154.5972,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1402.1748
"144","NCC30",16.6,"Low Fat",0.027622076,"Household",177.6344,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2676.516
"145","FDI16",14,"Regular",0,"Frozen Foods",53.064,"OUT035",2004,"Small","Tier 2","Supermarket Type1",905.488
"146","FDP16",18.6,"Low Fat",0.039355947,"Frozen Foods",246.3802,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",7370.406
"147","FDB11",16,"Low Fat",0.060836524,"Starchy Foods",226.8404,"OUT035",2004,"Small","Tier 2","Supermarket Type1",6301.1312
"148","NCB06",17.6,"Low Fat",0.082316506,"Health and Hygiene",160.692,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1597.92
"149","FDA45",21.25,"Low Fat",0.155350299,"Snack Foods",178.237,"OUT035",2004,"Small","Tier 2","Supermarket Type1",529.311
"150","NCO26",7.235,"Low Fat",0.076841095,"Household",117.5492,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1969.4364
"152","FDR28",13.85,"Regular",0.026001976,"Frozen Foods",161.521,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1794.331
"153","FDI04",13.65,"Regular",0.073209447,"Frozen Foods",197.6426,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2768.3964
"155","FDX20",7.365,"Low Fat",0.042560252,"Fruits and Vegetables",226.172,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3169.208
"156","NCI18",18.35,"Low Fat",0.014081156,"Household",223.5746,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3589.9936
"157","FDB36",5.465,"Regular",0,"Baking Goods",132.5626,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",262.3252
"160","FDQ28",14,"Regular",0.060376776,"Frozen Foods",154.5656,"OUT013",1987,"High","Tier 3","Supermarket Type1",2471.4496
"161","FDM22",14,"Regular",0.04192285,"Snack Foods",54.764,"OUT013",1987,"High","Tier 3","Supermarket Type1",1331.6
"163","FDV25",5.905,"Low Fat",0.045838211,"Canned",222.5456,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3315.684
"164","DRF49",7.27,"Low Fat",0.071077939,"Soft Drinks",114.2518,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2618.5914
"165","FDW51",6.155,"Regular",0.094659871,"Meat",214.556,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2769.728
"168","FDL50",12.15,"Regular",0.042485444,"Canned",125.0046,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1743.0644
"170","FDW11",12.6,"Low Fat",0.0489808,"Breads",61.9194,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",619.194
"171","NCM43",14.5,"Low Fat",0.019471688,"Others",164.821,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2120.573
"173","FDM15",11.8,"Regular",0.057373797,"Meat",151.4366,"OUT013",1987,"High","Tier 3","Supermarket Type1",1360.2294
"174","FDS31",13.1,"Regular",0.044155597,"Fruits and Vegetables",178.8318,"OUT013",1987,"High","Tier 3","Supermarket Type1",3969.4996
"184","FDU50",5.75,"Regular",0.075107656,"Dairy",112.8176,"OUT013",1987,"High","Tier 3","Supermarket Type1",1374.2112
"186","FDK58",11.35,"Regular",0.045165796,"Snack Foods",100.0016,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1012.016
"188","NCW29",14,"Low Fat",0.028907832,"Health and Hygiene",130.431,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",778.986
"190","NCB19",6.525,"Low Fat",0.090436094,"Household",85.0882,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2233.0932
"191","FDV15",10.3,"Low Fat",0.146399712,"Meat",103.9648,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1661.8368
"192","FDL58",5.78,"Regular",0.074264356,"Snack Foods",264.7568,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",4745.8224
"194","FDT43",16.35,"Low Fat",0.020631654,"Fruits and Vegetables",50.1324,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",467.3916
"196","FDT20",10.5,"Low Fat",0.041395445,"Fruits and Vegetables",37.6164,"OUT046",1997,"Small","Tier 1","Supermarket Type1",540.6296
"197","FDB41",19,"Regular",0.097313129,"Frozen Foods",48.0718,"OUT046",1997,"Small","Tier 1","Supermarket Type1",992.7078
"198","NCN55",14.6,"Low Fat",0.059582996,"Others",238.8538,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",6008.845
"202","FDE36",5.26,"Regular",0.041764487,"Baking Goods",161.8868,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3275.736
"205","FDI19",15.1,"Low Fat",0.052339069,"Meat",242.7512,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4119.9704
"207","FDG52",13.65,"Low Fat",0.065732883,"Frozen Foods",45.7402,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",780.9834
"211","DRK12",9.5,"Low Fat",0.041878397,"Soft Drinks",32.99,"OUT035",2004,"Small","Tier 2","Supermarket Type1",133.16
"212","DRC27",13.8,"Low Fat",0.058091482,"Dairy",245.1802,"OUT035",2004,"Small","Tier 2","Supermarket Type1",5650.6446
"219","FDX15",17.2,"Low Fat",0.15616879,"Meat",160.6578,"OUT013",1987,"High","Tier 3","Supermarket Type1",3690.5294
"220","FDA39",6.32,"Low Fat",0,"Meat",40.2822,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1139.1838
"221","FDY24",4.88,"Regular",0.133700752,"Baking Goods",52.9298,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1995.4026
"223","FDH28",15.85,"Regular",0.110030997,"Frozen Foods",37.2506,"OUT046",1997,"Small","Tier 1","Supermarket Type1",265.6542
"225","DRJ13",12.65,"Low Fat",0.062837968,"Soft Drinks",161.5578,"OUT013",1987,"High","Tier 3","Supermarket Type1",2406.867
"227","FDW20",20.75,"Low Fat",0.024129332,"Fruits and Vegetables",124.173,"OUT013",1987,"High","Tier 3","Supermarket Type1",2956.152
"229","FDS49",9,"Low Fat",0,"Canned",79.7644,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1649.8524
"234","FDF14",7.55,"Low Fat",0.027164679,"Canned",152.334,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2603.278
"235","NCD06",13,"Low Fat",0.099325278,"Household",45.406,"OUT046",1997,"Small","Tier 1","Supermarket Type1",605.878
"238","FDB35",12.3,"Regular",0.064565202,"Starchy Foods",92.9804,"OUT013",1987,"High","Tier 3","Supermarket Type1",1929.4884
"243","NCU41",18.85,"Low Fat",0.052044976,"Health and Hygiene",192.1846,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3248.4382
"245","DRJ51",14.1,"Low Fat",0.087977262,"Dairy",229.0668,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3225.1352
"246","FDK21",7.905,"Low Fat",0.010010425,"Snack Foods",249.0408,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3755.112
"247","FDY25",12,"Low Fat",0.033946163,"Canned",179.3976,"OUT013",1987,"High","Tier 3","Supermarket Type1",3440.8544
"248","FDU44",12.15,"Regular",0.058414678,"Fruits and Vegetables",163.4552,"OUT035",2004,"Small","Tier 2","Supermarket Type1",974.7312
"249","FDL43",10.1,"Low Fat",0.027106459,"Meat",75.367,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",535.969
"252","FDL20",17.1,"Low Fat",0.128937661,"Fruits and Vegetables",112.3886,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1779.0176
"253","FDV32",7.785,"Low Fat",0.088846306,"Fruits and Vegetables",61.451,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",759.012
"254","FDJ34",11.8,"Regular",0.09357779,"Snack Foods",125.9704,"OUT013",1987,"High","Tier 3","Supermarket Type1",1877.556
"258","NCI17",8.645,"Low Fat",0.143303291,"Health and Hygiene",96.341,"OUT013",1987,"High","Tier 3","Supermarket Type1",193.082
"261","FDJ55",12.8,"Regular",0.023511371,"Meat",225.9404,"OUT013",1987,"High","Tier 3","Supermarket Type1",4950.8888
"262","DRK01",7.63,"Low Fat",0.06105276,"Soft Drinks",95.4436,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1418.154
"266","NCR54",16.35,"Low Fat",0.090486828,"Household",195.211,"OUT013",1987,"High","Tier 3","Supermarket Type1",2553.343
"267","FDG29",17.6,"Low Fat",0.056245075,"Frozen Foods",43.3454,"OUT013",1987,"High","Tier 3","Supermarket Type1",1006.6896
"268","FDG24",7.975,"Low Fat",0.014618973,"Baking Goods",85.225,"OUT013",1987,"High","Tier 3","Supermarket Type1",1081.925
"270","FDM28",15.7,"Low Fat",0.045166237,"Frozen Foods",178.666,"OUT013",1987,"High","Tier 3","Supermarket Type1",2516.724
"271","FDW04",8.985,"Regular",0.057827101,"Frozen Foods",128.831,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1428.141
"272","FDS26",20.35,"Low Fat",0.089394766,"Dairy",260.1594,"OUT013",1987,"High","Tier 3","Supermarket Type1",2093.2752
"273","FDQ56",6.59,"Low Fat",0.10550944,"Fruits and Vegetables",85.6908,"OUT013",1987,"High","Tier 3","Supermarket Type1",1929.4884
"274","FDK51",19.85,"Low Fat",0.005234153,"Dairy",264.0884,"OUT035",2004,"Small","Tier 2","Supermarket Type1",5829.7448
"275","FDL22",16.85,"Low Fat",0.036390174,"Snack Foods",91.4488,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2082.6224
"277","FDY55",16.75,"Low Fat",0.081252534,"Fruits and Vegetables",256.4988,"OUT013",1987,"High","Tier 3","Supermarket Type1",7452.9652
"281","FDZ32",7.785,"Regular",0.038288087,"Fruits and Vegetables",103.1964,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",736.3748
"282","NCZ18",7.825,"Low Fat",0.186032678,"Household",253.0698,"OUT035",2004,"Small","Tier 2","Supermarket Type1",6088.0752
"286","FDT39",6.26,"Regular",0.009866049,"Meat",151.1366,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2267.049
"288","NCD06",13,"Low Fat",0.099729888,"Household",46.306,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",559.272
"289","FDB57",20.25,"Regular",0.018801549,"Fruits and Vegetables",222.1772,"OUT035",2004,"Small","Tier 2","Supermarket Type1",5559.43
"290","NCT54",8.695,"Low Fat",0.119721451,"Household",95.5094,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1237.7222
"294","FDH27",7.075,"Low Fat",0.05858462,"Dairy",142.7128,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1869.5664
"296","FDY59",8.195,"Low Fat",0.031452265,"Baking Goods",94.3462,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",925.462
"297","FDK36",7.09,"Low Fat",0.00721395,"Baking Goods",47.9034,"OUT035",2004,"Small","Tier 2","Supermarket Type1",583.2408
"298","NCM31",6.095,"Low Fat",0.081196619,"Others",141.4154,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1418.154
"300","FDU36",6.15,"Low Fat",0.04627095,"Baking Goods",99.3384,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2364.9216
"303","NCQ54",17.7,"Low Fat",0.012540003,"Household",167.0474,"OUT035",2004,"Small","Tier 2","Supermarket Type1",5895.659
"304","FDO23",17.85,"Low Fat",0.147023834,"Breads",93.7436,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1134.5232
"308","FDR04",7.075,"Low Fat",0,"Frozen Foods",98.0068,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",874.8612
"309","FDX23",6.445,"Low Fat",0.029691762,"Baking Goods",92.6436,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1039.9796
"310","FDX19",19.1,"Low Fat",0.096715523,"Fruits and Vegetables",235.0958,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3038.0454
"311","FDD40",20.25,"Regular",0.014790559,"Dairy",193.6162,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3848.324
"312","FDA01",15,"Regular",0.054378253,"Canned",59.1904,"OUT046",1997,"Small","Tier 1","Supermarket Type1",527.3136
"313","FDS33",6.67,"Regular",0.123428594,"Snack Foods",89.1514,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2390.8878
"315","FDB29",16.7,"Regular",0.052368061,"Frozen Foods",112.7176,"OUT013",1987,"High","Tier 3","Supermarket Type1",801.6232
"322","FDX36",9.695,"Regular",0.12848269,"Baking Goods",223.9404,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",4950.8888
"325","FDB45",20.85,"Low Fat",0.021362955,"Fruits and Vegetables",103.2306,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2404.2038
"327","FDV51",16.35,"Low Fat",0.032511818,"Meat",165.0842,"OUT013",1987,"High","Tier 3","Supermarket Type1",994.7052
"331","DRH39",20.7,"Low Fat",0.09261307,"Dairy",76.367,"OUT013",1987,"High","Tier 3","Supermarket Type1",306.268
"337","NCO43",5.5,"Low Fat",0.04709821,"Others",101.3016,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3339.6528
"342","FDR24",17.35,"Regular",0.062799379,"Baking Goods",88.183,"OUT013",1987,"High","Tier 3","Supermarket Type1",539.298
"343","NCY18",7.285,"Low Fat",0.031125709,"Household",174.3054,"OUT013",1987,"High","Tier 3","Supermarket Type1",4377.635
"346","DRI37",15.85,"Low Fat",0.107765165,"Soft Drinks",59.5904,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",703.0848
"347","FDL27",6.17,"Low Fat",0.010647477,"Meat",66.3826,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1937.478
"348","NCO30",19.5,"Low Fat",0.015749341,"Household",182.2608,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3307.6944
"349","NCB07",19.2,"Low Fat",0.077628053,"Household",197.611,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3142.576
"350","FDX25",16.7,"Low Fat",0,"Canned",181.2292,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2554.0088
"351","FDP59",20.85,"Regular",0.056695731,"Breads",104.0648,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1869.5664
"353","FDT27",11.395,"Regular",0.069529262,"Meat",233.1616,"OUT013",1987,"High","Tier 3","Supermarket Type1",6093.4016
"354","DRI01",7.97,"Low Fat",0.034452949,"Soft Drinks",174.0422,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2586.633
"355","FDU09",7.71,"Regular",0.06670068,"Snack Foods",55.2956,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1255.6988
"356","FDH26",19.25,"Regular",0.034699737,"Canned",141.7496,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4093.3384
"357","FDH27",7.075,"Low Fat",0.058346939,"Dairy",142.2128,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3163.8816
"359","FDH40",11.6,"Regular",0.078929571,"Frozen Foods",79.9276,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1137.1864
"361","DRN47",12.1,"Low Fat",0.016895293,"Hard Drinks",178.566,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",898.83
"362","NCO17",10,"Low Fat",0.073379745,"Health and Hygiene",118.244,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2756.412
"364","FDT22",10.395,"Low Fat",0.112271498,"Snack Foods",58.222,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",659.142
"366","FDG45",8.1,"Low Fat",0.127929521,"Fruits and Vegetables",211.4902,"OUT013",1987,"High","Tier 3","Supermarket Type1",3610.6334
"367","FDD44",8.05,"Regular",0.07838564,"Fruits and Vegetables",256.4646,"OUT035",2004,"Small","Tier 2","Supermarket Type1",5153.292
"369","FDL51",20.7,"Regular",0.047684831,"Dairy",212.5876,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1286.3256
"374","FDX09",9,"Low Fat",0.065236932,"Snack Foods",176.437,"OUT035",2004,"Small","Tier 2","Supermarket Type1",7763.228
"375","FDO51",6.785,"Regular",0.041947547,"Meat",41.2112,"OUT013",1987,"High","Tier 3","Supermarket Type1",809.6128
"376","FDW49",19.5,"Low Fat",0.082888496,"Canned",178.6002,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1253.7014
"377","FDB27",7.575,"Low Fat",0.055390121,"Dairy",195.2768,"OUT046",1997,"Small","Tier 1","Supermarket Type1",5715.2272
"378","FDF45",18.2,"Regular",0.012194556,"Fruits and Vegetables",57.7904,"OUT013",1987,"High","Tier 3","Supermarket Type1",1464.76
"379","FDV02",16.75,"Low Fat",0.060495243,"Dairy",169.8106,"OUT013",1987,"High","Tier 3","Supermarket Type1",3251.1014
"380","FDY28",7.47,"Regular",0,"Frozen Foods",214.3218,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4274.436
"383","FDP51",13.85,"Regular",0.085622362,"Meat",119.4124,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2251.7356
